epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,546.501,1.04153,0.62007,1.14982,0,0,0,0,0,64.9103,0,0.0015545,0.0015545,0.0015545
20,565.712,0.99201,0.60818,1.08485,0,0,0,0,0,74.9778,0,0.00152975,0.00152975,0.00152975
21,584.93,0.98091,0.60039,1.10407,0,0,0,0,0,67.0728,0,0.001505,0.001505,0.001505
22,604.148,0.99808,0.58241,1.11935,0,0,0,0,0,74.5889,0,0.00148025,0.00148025,0.00148025
23,623.797,1.00703,0.61481,1.09154,0,0,0,0,0,60.666,0,0.0014555,0.0014555,0.0014555
24,642.813,0.99529,0.60508,1.11035,0,0,0,0,0,76.2618,0,0.00143075,0.00143075,0.00143075
25,661.661,0.97998,0.56178,1.1254,0,0,0,0,0,86.7728,0,0.001406,0.001406,0.001406
26,681.377,0.94914,0.56926,1.08262,0,0,0,0,0,79.3679,0,0.00138125,0.00138125,0.00138125
27,700.667,0.94,0.5532,1.08766,0,0,0,0,0,76.3014,0,0.0013565,0.0013565,0.0013565
28,720.457,0.94639,0.54029,1.07311,0,0,0,0,0,86.2095,0,0.00133175,0.00133175,0.00133175
29,739.719,0.91186,0.55336,1.09248,0,0,0,0,0,67.9282,0,0.001307,0.001307,0.001307
30,759.095,0.90801,0.54691,1.07654,0,0,0,0,0,71.5351,0,0.00128225,0.00128225,0.00128225
31,778.146,0.88558,0.51796,1.0362,0,0,0,0,0,65.2636,0,0.0012575,0.0012575,0.0012575
32,797.836,0.85229,0.5145,1.04457,0,0,0,0,0,75.7175,0,0.00123275,0.00123275,0.00123275
33,818.644,0.88412,0.50329,1.06444,0,0,0,0,0,71.9258,0,0.001208,0.001208,0.001208
34,839.344,0.85543,0.50163,1.04272,0,0,0,0,0,69.7579,0,0.00118325,0.00118325,0.00118325
35,860.766,0.89922,0.5109,1.05581,0,0,0,0,0,71.3522,0,0.0011585,0.0011585,0.0011585
36,880.019,0.83812,0.47933,1.0543,0,0,0,0,0,81.3975,0,0.00113375,0.00113375,0.00113375
37,900.249,0.91723,0.52075,1.06528,0,0,0,0,0,85.0302,0,0.001109,0.001109,0.001109
38,920.097,0.87044,0.49437,1.07695,0,0,0,0,0,84.0173,0,0.00108425,0.00108425,0.00108425
39,940.294,0.87805,0.49023,1.04254,0,0,0,0,0,85.8762,0,0.0010595,0.0010595,0.0010595
40,959.87,0.82703,0.48223,1.05104,0,0,0,0,0,77.5678,0,0.00103475,0.00103475,0.00103475
41,980.141,0.82103,0.47076,1.05322,0,0,0,0,0,91.3133,0,0.00101,0.00101,0.00101
42,999.869,0.85191,0.62972,1.01759,0,0,0,0,0,70.5765,0,0.00098525,0.00098525,0.00098525
43,1019.34,0.80592,0.50737,1.00503,0,0,0,0,0,76.4065,0,0.0009605,0.0009605,0.0009605
44,1196.52,0.80567,0.47301,1.03109,0,0,0,0,0,85.1965,0,0.00093575,0.00093575,0.00093575
45,1216.34,0.90623,0.51125,1.05819,0,0,0,0,0,79.8191,0,0.000911,0.000911,0.000911
46,1236.62,0.86595,0.49503,1.03487,0,0,0,0,0,88.9714,0,0.00088625,0.00088625,0.00088625
47,1256.34,0.82825,0.48319,1.02243,0,0,0,0,0,89.5918,0,0.0008615,0.0008615,0.0008615
48,1276.21,0.81586,0.47231,1.02977,0,0,0,0,0,92.2536,0,0.00083675,0.00083675,0.00083675
49,1296.99,0.76545,0.45248,1.01083,0,0,0,0,0,82.5991,0,0.000812,0.000812,0.000812
50,1317.51,0.7912,0.4468,1.01246,0,0,0,0,0,90.967,0,0.00078725,0.00078725,0.00078725
51,1337.58,0.73606,0.43748,0.97966,0,0,0,0,0,97.8137,0,0.0007625,0.0007625,0.0007625
52,1400.05,0.70951,0.57522,0.95861,0,0,0,0,0,90.1357,0,0.00073775,0.00073775,0.00073775
53,1420.97,0.75251,0.42492,1.0191,0,0,0,0,0,81.7091,0,0.000713,0.000713,0.000713
54,1440.83,0.73174,0.43118,0.99074,0,0,0,0,0,99.4839,0,0.00068825,0.00068825,0.00068825
55,1461.4,0.75758,0.43184,0.99843,0,0,0,0,0,85.8431,0,0.0006635,0.0006635,0.0006635
56,1481.57,0.76144,0.45118,1.00405,0,0,0,0,0,96.4997,0,0.00063875,0.00063875,0.00063875
57,1501.95,0.7529,0.41656,1.00629,0,0,0,0,0,99.8235,0,0.000614,0.000614,0.000614
58,1521.61,0.75445,0.42614,1.00579,0,0,0,0,0,90.8722,0,0.00058925,0.00058925,0.00058925
59,1542.46,0.72595,0.41154,1.00268,0,0,0,0,0,98.0438,0,0.0005645,0.0005645,0.0005645
60,1563.35,0.70331,0.41188,0.98171,0,0,0,0,0,93.9515,0,0.00053975,0.00053975,0.00053975
61,1584.13,0.74319,0.43034,1.00917,0,0,0,0,0,94.6528,0,0.000515,0.000515,0.000515
62,1604.6,0.70008,0.38847,0.97152,0,0,0,0,0,103.095,0,0.00049025,0.00049025,0.00049025
63,1625.05,0.69489,0.39246,0.98986,0,0,0,0,0,99.5533,0,0.0004655,0.0004655,0.0004655
64,1645.96,0.66683,0.40335,0.96776,0,0,0,0,0,98.1682,0,0.00044075,0.00044075,0.00044075
65,1666.92,0.68322,0.38021,0.98246,0,0,0,0,0,102.733,0,0.000416,0.000416,0.000416
66,2058.12,0.67095,0.39358,0.98547,0,0,0,0,0,94.9115,0,0.00039125,0.00039125,0.00039125
67,2078.34,0.7148,0.38327,0.99082,0,0,0,0,0,96.8951,0,0.0003665,0.0003665,0.0003665
68,2098.24,0.64262,0.37598,0.97282,0,0,0,0,0,103.63,0,0.00034175,0.00034175,0.00034175
69,2118.77,0.69513,0.39221,0.98023,0,0,0,0,0,100.864,0,0.000317,0.000317,0.000317
70,2138.97,0.68055,0.38803,0.96995,0,0,0,0,0,96.9564,0,0.00029225,0.00029225,0.00029225
71,2159.37,0.63774,0.35652,0.94972,0,0,0,0,0,98.4076,0,0.0002675,0.0002675,0.0002675
72,2181,0.64889,0.35399,0.92614,0,0,0,0,0,97.3588,0,0.00024275,0.00024275,0.00024275
73,2201.95,0.63528,0.35499,0.93395,0,0,0,0,0,99.8798,0,0.000218,0.000218,0.000218
74,3153.47,0.61878,0.3456,0.91246,0,0,0,0,0,101.902,0,0.00019325,0.00019325,0.00019325
75,3763.79,0.63589,0.34016,0.92063,0,0,0,0,0,103.452,0,0.0001685,0.0001685,0.0001685
76,3783.39,0.58912,0.33466,0.92478,0,0,0,0,0,104.189,0,0.00014375,0.00014375,0.00014375
77,3802.85,0.56764,0.44081,0.88199,0,0,0,0,0,105.155,0,0.000119,0.000119,0.000119
78,3822.68,0.58844,0.32329,0.92453,0,0,0,0,0,103.455,0,9.425e-05,9.425e-05,9.425e-05
79,3841.1,0.59476,0.31978,0.90376,0,0,0,0,0,103.006,0,6.95e-05,6.95e-05,6.95e-05
80,4315.19,0.59424,0.32202,0.92287,0,0,0,0,0,105.283,0,4.475e-05,4.475e-05,4.475e-05
